call_id,destination_person_id,source_person_id,account_age,account_state,occupation,language,call_direction,call_duration,call_outcome,call_end_date,call_topics,call_topic_group
2807990,86394,269898,301,In Repayment,Farmer,Luganda,Incoming,0.78,Call Resolved,10/21/17 4:01,Call Dropped,Other
2807991,86394,320367,122,In Repayment,Other,Luganda,Incoming,1.93,Call Resolved,10/21/17 4:04,Code Not Received,Codes
2807992,212967,129042,695,In Repayment,Mechanic / Technician,Luganda,Incoming,4.9,Call Resolved,10/21/17 4:05,RP Remote Technical,Accessory Technical Issue
2807993,114159,372282,22,In Repayment,Farmer,Lango,Incoming,3.77,Call Resolved,10/21/17 4:06,Code Not Received,Codes
2807994,86394,366749,44,In Repayment,Electrician,Luganda,Incoming,2.62,Call Resolved,10/21/17 4:07,Code Not Received,Codes
2807995,77156,255608,318,In Repayment,Mechanic / Technician,Luganda,Incoming,2.83,Call Resolved,10/21/17 4:07,"Code Entered Late, Code Not Received",Codes
2807996,239005,354375,66,In Repayment,Other,Lango,Incoming,1.1,Call Resolved,10/21/17 4:07,General Question,General 
2807997,114159,191685,506,In Repayment,Small Business Owner,Acholi,Incoming,0.75,Call Resolved,10/21/17 4:08,Call transfer,Other
2807998,212967,245406,336,In Repayment,Farmer,Luganda,Incoming,4.27,Call Resolved,10/21/17 4:10,Code Not Received,Codes
2807999,114159,354282,67,In Repayment,Fisherman,Alur,Incoming,0.55,Call Resolved,10/21/17 4:09,Call transfer,Other
2808000,108358,232160,365,In Repayment,Small Business Owner,Lumasaba,Incoming,3.32,Call Resolved,10/21/17 4:10,Code Not Received,Codes
2808001,212967,224068,390,In Repayment,Farmer,Luganda,Incoming,0.55,Call Resolved,10/21/17 4:11,Ended Call- Hearing/Speaking Issues,Other
2808002,77156,371826,24,In Repayment,Farmer,Lusoga,Incoming,6.55,Call Resolved,10/21/17 4:14,Payment inquiry,Finance
2808003,239005,376369,9,In Repayment,Farmer,Luganda,Incoming,7.22,Call Resolved,10/21/17 4:16,ReadyRefer 3 Days Inquiry,Other
2808004,108358,146065,668,In Repayment,,Lumasaba,Incoming,5.9,Call Resolved,10/21/17 4:17,Customer NOT with PS,Technical/ Battery Performance
2808005,239142,309014,1,In Repayment,UPDF,Lunyankore,Incoming,3.45,Call Resolved,10/21/17 4:17,Account Association,Sales
2808006,86394,337331,94,In Repayment,Farmer,Luganda,Incoming,10.2,Call Resolved,10/21/17 4:18,Does Not Charge From Mains,Technical/ Battery Performance
2808007,212967,281043,270,In Repayment,Farmer,Luganda,Incoming,7.27,Call Resolved,10/21/17 4:19,Code Entry Support,Codes
2808008,77156,114726,734,In Repayment,Driver,Luganda,Incoming,4.83,Call Resolved,10/21/17 4:20,"Code Entered Late, Code Not Received",Codes
2808010,212967,191404,508,In Repayment,Farmer,Luganda,Incoming,2.82,Call Resolved,10/21/17 4:22,Code Not Received,Codes
2808011,239005,122949,708,In Repayment,Farmer,Luganda,Incoming,5.5,Call Resolved,10/21/17 4:22,Code Not Received,Codes
2808012,114159,372822,19,In Repayment,Boda Boda,Ateso,Incoming,10.75,Call Resolved,10/21/17 4:21,Drains Quickly,Technical/ Battery Performance
2808013,114159,109734,752,In Repayment,Farmer,Ateso,Incoming,0.58,Call Unresolved,10/21/17 4:24,"General Question, Ended Call- Hearing/Speaking Issues",General 
2808014,77156,340855,88,In Repayment,Teacher,Lunyoro,Incoming,1.82,Call Resolved,10/21/17 4:22,"General Question, Mistaken Payment, Call Dropped",General 
2808015,108358,231188,11,In Repayment,Farmer,Lumasaba,Incoming,6.78,Call Resolved,10/21/17 4:24,Early Lockout,Codes
2808016,239142,191685,506,In Repayment,Small Business Owner,Acholi,Incoming,6.47,Call Resolved,10/21/17 4:24,RP Remote Non-Technical,Accessory Non-Technical Issue
2808017,108358,365286,48,In Repayment,Farmer,Lumasaba,Incoming,0.87,Call Resolved,10/21/17 4:26,Ended Call- Hearing/Speaking Issues,Other
2808018,212967,309254,149,In Repayment,Farmer,Luganda,Incoming,5.92,Call Resolved,10/21/17 4:28,General Question,General 
2808019,239142,247780,331,In Repayment,Construction,Luganda,Incoming,4.9,Call Resolved,10/21/17 4:30,Code Not Received,Codes
2808020,77156,298174,199,In Repayment,Farmer,English,Incoming,5.85,Call Resolved,10/21/17 4:31,Overdue Account,Finance
2808021,212967,362855,53,In Repayment,Boda Boda,Luganda,Incoming,3.3,Call Resolved,10/21/17 4:32,Code Not Received,Codes
2808022,86394,367937,40,In Repayment,Market Trader,Lusoga,Incoming,11.13,Call Resolved,10/21/17 4:33,"MM Issue, Lockout Date Inquiry, Technical product inquiry ",Finance
2808023,239142,188729,516,In Repayment,Construction,Lunyankore,Incoming,3.05,Call Resolved,10/21/17 4:34,Code Not Received,Codes
2808024,77156,340855,88,In Repayment,Teacher,Lunyoro,Incoming,1.75,Call Resolved,10/21/17 4:34,General Question,General 
2808025,108358,365286,48,In Repayment,Farmer,Lumasaba,Incoming,7.42,Needs Repair / Replacement,10/21/17 4:35,Does Not Charge From Solar,Technical/ Battery Performance
2808026,239005,354076,67,In Repayment,Small Business Owner,Lunyole,Incoming,12.45,Call Resolved,10/21/17 4:36,"Code Not Received, Ready Radio Technical",Codes
2808027,86394,138881,427,Complete,Farmer,Lusoga,Incoming,2.72,Call Resolved,10/21/17 4:36,Code Not Received,Codes
2808028,24026,150277,655,In Repayment,Teacher,Lusoga,Incoming,2.73,Call Resolved,10/21/17 4:36,Code Not Received,Codes
2808031,86394,242863,339,In Repayment,Boda Boda,Luganda,Incoming,2.8,Call Resolved,10/21/17 4:39,Code Not Received,Codes
2808033,239142,157520,639,In Repayment,Teacher,Lunyankore,Incoming,5.22,Call Resolved,10/21/17 4:40,School fee loan inquiry,Sales
2808034,338079,312016,143,In Repayment,Other,Acholi,Incoming,1.27,Call Resolved,10/21/17 4:40,Code Not Received,Codes
2808035,77156,53721,905,Complete,Fisherman,Luganda,Incoming,2.38,Call Resolved,10/21/17 4:42,Balance Inquiry,Finance
2808036,239142,341568,87,In Repayment,Small Business Owner,Luganda,Incoming,3.37,Call Resolved,10/21/17 4:44,Code Not Received,Codes
2808037,239005,277633,280,In Repayment,Farmer,Lunyoro,Incoming,6.18,Call Resolved,10/21/17 4:44,Call Dropped,Other
2808041,108358,293737,159,In Repayment,Farmer,Luganda,Incoming,2.02,Call Resolved,10/21/17 4:47,Code Not Received,Codes
2808042,212967,298174,199,In Repayment,Farmer,English,Incoming,14.83,Call Resolved,10/21/17 4:48,SMS Inquiry,Other
2808043,86394,237498,350,In Repayment,Driver,Luganda,Incoming,8.13,Call Resolved,10/21/17 4:48,Early Lockout,Codes
2808046,338079,309932,148,In Repayment,Small Business Owner,Acholi,Incoming,6.17,Call Resolved,10/21/17 4:49,Unexpected Error Mode,Technical/ Battery Performance
2808047,239005,238810,347,In Repayment,Farmer,Luganda,Incoming,2.77,Call Resolved,10/21/17 4:50,"Balance Inquiry, Lockout Date Inquiry",Finance
2808048,239142,288642,240,In Repayment,Carpenter,Lunyankore,Incoming,6.88,Call Resolved,10/21/17 4:52,Reactivation/Catch Up Inquiry,Accounts
2808049,77156,310381,147,In Repayment,Construction,Lutooro,Incoming,3.6,Call Resolved,10/21/17 4:53,"Code Entered Late, Code Not Received",Codes
2808050,86394,228459,377,In Repayment,Farmer,Lunyankore,Incoming,5.27,Call Resolved,10/21/17 4:55,"Code request, Account Modifications",Codes
2808051,212967,301125,180,In Repayment,Shop Keeper,Lusoga,Incoming,7.55,Call Resolved,10/21/17 4:56,Does Not Charge From Solar,Technical/ Battery Performance
2808052,239142,161218,629,Complete,Market Trader,Lunyankore,Incoming,3.07,Call Resolved,10/21/17 4:57,3 Series LED Light Bar Non-Technical,Accessory Non-Technical Issue
2808054,239005,241526,342,In Repayment,Other,Lunyankore,Incoming,7.33,Call Resolved,10/21/17 4:58,Payment procedure information request,Finance
2808056,239142,230777,369,In Repayment,Shop Keeper,Lutooro,Incoming,3.77,Call Resolved,10/21/17 5:02,Code Not Received,Codes
2808058,108358,281043,270,In Repayment,Farmer,Luganda,Incoming,3.1,Call Resolved,10/21/17 5:03,Code Not Received,Codes
2808060,77156,144420,670,In Repayment,Farmer,Lutooro,Incoming,4.25,Call Resolved,10/21/17 5:03,General Question,General 
2808061,212967,188747,515,In Repayment,Small Business Owner,Luganda,Incoming,7.08,Call Resolved,10/21/17 5:04,"No output from CLA/USB ports, 18 Diode LED Light Bar Technical",Technical/ Battery Performance
2808063,239142,158458,636,In Repayment,Farmer,Lunyankore,Incoming,3.57,Call Resolved,10/21/17 5:06,Advance Code,Codes
2808064,108358,371255,26,In Repayment,Farmer,Lumasaba,Incoming,0.42,Call Resolved,10/21/17 5:06,Call Dropped,Other
2808065,239142,369285,35,In Repayment,Farmer,Rukiga,Incoming,0.65,Call Resolved,10/21/17 5:07,Ended Call- Hearing/Speaking Issues,Other
2808066,338079,150018,660,Complete,Construction,English,Incoming,15.88,Call Resolved,10/21/17 5:09,"SOC Jumps to Empty, 3 Series LED Light Bar Technical",Technical/ Battery Performance
2808067,86394,233895,360,In Repayment,Shop Keeper,Lusoga,Incoming,1.85,Call Resolved,10/21/17 5:09,Code Not Received,Codes
2808068,239005,262990,308,In Repayment,Other,Lugwere,Incoming,11.33,Call Resolved,10/21/17 5:10,Code Entered Late,Codes
2808069,108358,357212,61,In Repayment,Farmer,Lunyankore,Incoming,3.62,Needs Repair / Replacement,10/21/17 5:11,Does Not Charge From Solar,Technical/ Battery Performance
2808070,338079,257883,316,In Repayment,Small Business Owner,English,Incoming,1.55,Call Resolved,10/21/17 5:11,Code Not Received,Codes
2808071,86394,281043,270,In Repayment,Farmer,Luganda,Incoming,4.88,Call Resolved,10/21/17 5:15,Code Not Received,Codes
2808072,108358,355959,64,In Repayment,Small Business Owner,Luganda,Incoming,4.02,Call Resolved,10/21/17 5:16,Technical product inquiry ,Technical/ Battery Performance
2808073,239142,201669,467,In Repayment,Farmer,Lunyankore,Incoming,8.4,Call Resolved,10/21/17 5:16,Code Not Received,Codes
2808074,239005,325370,115,In Repayment,Farmer,Luganda,Incoming,6.62,Call Resolved,10/21/17 5:18,RP Remote Technical,Accessory Technical Issue
2808076,212967,260669,311,In Repayment,Small Business Owner,Lusoga,Incoming,5.2,Call Resolved,10/21/17 5:18,Code Not Received,Codes
2808077,338079,319200,124,In Repayment,Tailor,Lango,Incoming,4.87,Needs Repair / Replacement,10/21/17 5:18,SOC Jumps to Empty,Technical/ Battery Performance
2808079,212967,370493,30,In Repayment,Farmer,Luganda,Incoming,4.85,Call Resolved,10/21/17 5:24,Code Entry Support,Codes
2808080,239142,172844,576,In Repayment,Farmer,Lunyankore,Incoming,6.6,Call Resolved,10/21/17 5:23,RP Remote Non-Technical,Accessory Non-Technical Issue
2808081,338079,376797,8,In Repayment,Farmer,Lugbara,Incoming,3.62,Call Resolved,10/21/17 5:23,Code Not Received,Codes
2808082,114159,109734,752,In Repayment,Farmer,Ateso,Incoming,47.77,Call Resolved,10/21/17 5:26,Early Lockout,Codes
2808083,100497,121188,678,Complete,Small Business Owner,English,Incoming,0.05,Call Unresolved,10/21/17 5:27,Call Dropped,Other
2808084,86394,336872,94,In Repayment,Small Business Owner,Luganda,Incoming,8.05,Call Resolved,10/21/17 5:28,Technical product inquiry ,Technical/ Battery Performance
2808086,108358,238810,347,In Repayment,Farmer,Luganda,Incoming,7.73,Call Resolved,10/21/17 5:28,Balance Inquiry,Finance
2808087,239142,298148,199,In Repayment,Farmer,Rukiga,Incoming,4.33,Call Resolved,10/21/17 5:29,Code Not Received,Codes
2808089,212967,348227,1,In Repayment,Farmer,Luganda,Incoming,7.92,Call Resolved,10/21/17 5:32,Account Association,Sales
2808090,108358,137673,606,Complete,Small Business Owner,Lugbara,Incoming,2.68,Call Resolved,10/21/17 5:32,Code Not Received,Codes
2808091,239142,376988,8,In Repayment,Boda Boda,Lunyankore,Incoming,3.08,Call Resolved,10/21/17 5:32,Code Not Received,Codes
2808092,108358,121188,678,Complete,Small Business Owner,English,Incoming,0.2,Call Resolved,10/21/17 5:33,Call transfer,Other
2808093,304375,77156,97,In Repayment,Other,English,Outgoing,3.77,Call Resolved,10/21/17 5:33,RPC Follow Up,Other
2808094,86394,212293,428,In Repayment,Boda Boda,Luganda,Incoming,5.93,Call Resolved,10/21/17 5:36,Does Not Charge From Solar,Technical/ Battery Performance
2808096,77156,312771,141,Cancelled,Farmer,Lunyoro,Incoming,2.63,Call Resolved,10/21/17 5:36,General Question,General 
2808099,338079,41163,954,In Repayment,NGO Worker,English,Incoming,10.18,Call Resolved,10/21/17 5:36,"Interested In ReadyPay, Interested in Upgrades, Drains Quickly",Sales
2808101,86394,137673,606,Complete,Small Business Owner,Lugbara,Incoming,2.82,Call Resolved,10/21/17 5:39,Code Not Received,Codes
2808103,114159,354071,67,In Repayment,Engineer,Ateso,Incoming,6.87,Call Resolved,10/21/17 5:40,Code Not Received,Codes
2808104,108358,202842,462,In Repayment,Herbalist,Luganda,Incoming,0.2,Call Resolved,10/21/17 5:40,Call Dropped,Other
2808107,212967,379693,1,In Repayment,Farmer,Ateso,Incoming,4.6,Call Resolved,10/21/17 5:43,Account Association,Sales
2808108,239142,253618,323,In Repayment,Farmer,Lunyankore,Incoming,5.37,Call Resolved,10/21/17 5:44,Payment inquiry,Finance
2808109,24026,376001,10,In Repayment,Farmer,Luganda,Incoming,5.05,Call Resolved,10/21/17 5:44,General Question,General 
2808110,86394,377334,7,In Repayment,Farmer,Luganda,Incoming,5.3,Call Resolved,10/21/17 5:45,Referral bonus not received,Accounts
2808112,108358,213687,423,In Repayment,Farmer,Lumasaba,Incoming,5.8,Call Resolved,10/21/17 5:49,General Question,General 
2808113,86394,180187,547,In Repayment,Farmer,Luganda,Incoming,3.03,Call Resolved,10/21/17 5:49,General Question,General 
2808114,239142,233752,361,In Repayment,Farmer,Lunyankore,Incoming,3.45,Call Resolved,10/21/17 5:50,Customer NOT with PS,Technical/ Battery Performance
2808115,239005,94309,116,In Repayment,Farmer,Lusoga,Incoming,14.33,Call Resolved,10/21/17 5:50,General Question,General 
2808116,212967,253210,238,Cancelled,Teacher,English,Incoming,6.37,Call Resolved,10/21/17 5:50,Refund Question,Finance
2808118,239142,355204,65,In Repayment,Farmer,Lunyankore,Incoming,1.17,Call Resolved,10/21/17 5:52,Call Dropped,Other
2808119,239005,366749,44,In Repayment,Electrician,Luganda,Incoming,1.15,Call Resolved,10/21/17 5:52,Call Dropped,Other
2808120,86394,328332,95,In Repayment,Farmer,Lugwere,Incoming,3.67,Call Resolved,10/21/17 5:53,"Balance Inquiry, Code Not Received",Finance
2808121,355204,239142,65,In Repayment,Farmer,Lunyankore,Outgoing,0.82,Call Resolved,10/21/17 5:53,Call Dropped,Other
2808123,108358,371329,26,In Repayment,Farmer,Lusoga,Incoming,6.82,Call Resolved,10/21/17 5:56,Code Not Received,Codes
2808124,239142,346562,81,In Repayment,Small Business Owner,Lunyankore,Incoming,3.17,Call Resolved,10/21/17 5:57,Code Not Received,Codes
2808125,338079,293136,219,In Repayment,Office Work,English,Incoming,11.63,Call Resolved,10/21/17 5:57,RP Remote Technical,Accessory Technical Issue
2808126,239005,255608,318,In Repayment,Mechanic / Technician,Luganda,Incoming,2.55,Call Resolved,10/21/17 5:58,Code Not Received,Codes
2808127,212967,294588,213,In Repayment,Small Business Owner,Luganda,Incoming,7.65,Call Resolved,10/21/17 5:59,Code Not Received,Codes
2808128,86394,331717,103,In Repayment,Other,Luganda,Incoming,5.93,Call Resolved,10/21/17 6:00,"Balance Inquiry, Technical product inquiry ",Finance
2808129,124275,321985,120,In Repayment,Market Trader,Luganda,Incoming,2.68,Call Resolved,10/21/17 6:00,Code Not Received,Codes
2808130,338079,159104,634,In Repayment,Other,English,Incoming,1.8,Needs Repair / Replacement,10/21/17 6:00,Squid Charger Technical,Accessory Technical Issue
